,tweet_id,coordinates,place_full_name,place_country_code,place_bb_coord,created_at,text,label,text_clean,lon,lat
0,847534226413105152,,"Chicago, IL",US,"[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]",2017-03-30 19:41:20,Not having access to my money is fucking pissing me off!!!!,abusive,"['access', 'money', 'fuck', 'piss']",-87.732013,41.833584450000004
1,850793087391612928,,"Chula Vista, CA",US,"[[[-117.117116, 32.582128], [-116.9278103, 32.582128], [-116.9278103, 32.685406], [-117.117116, 32.685406]]]",2017-04-08 19:30:53,I recorded a video and I look  stupid as hell lmaoo,abusive,"['record', 'video', 'look', 'stupid', 'hell', 'lmaoo']",-117.02246315,32.633767
2,850211169662935040,,"Yucaipa, CA",US,"[[[-117.126742, 34.003904], [-116.9750053, 34.003904], [-116.9750053, 34.077386], [-117.126742, 34.077386]]]",2017-04-07 04:58:33,"IM SO FUCKING PISSED!!! I HATE YOU TRUMP, I WANTED TO START WW3",hateful,"['fucking', 'pissed', 'hate', 'trump', 'want', 'start', 'ww3']",-117.05087365,34.040645
3,850113727567409152,,"Houston, TX",US,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",2017-04-06 22:31:21,My 21st i wanna be in Miami getting so fucked up !!!!!,abusive,"['21st', 'wanna', 'miami', 'fucked']",-95.44648649999999,29.8384948
4,849043735468023808,,"Dallas, TX",US,"[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]",2017-04-03 23:39:35,Frank putting some idiot in his place. https://t.co/DC7Jo2GwFG,abusive,"['frank', 'idiot', 'place']",-96.7617535,32.819858499999995
5,849464369641656320,,"University, FL",US,"[[[-82.45491, 28.054805], [-82.4098119, 28.054805], [-82.4098119, 28.098918], [-82.45491, 28.098918]]]",2017-04-05 03:31:02,Bitch twitter should ban you for being so entitled and disgusting. I hope you say your prayers cuz https://t.co/1yGzMn1JsZ,abusive,"['bitch', 'twitter', 'ban', 'entitled', 'disgusting', 'hope', 'prayer', 'cuz']",-82.43236095,28.0768615
6,850572970334588933,,"Oakland, MD",US,"[[[-79.424161, 39.3946039], [-79.379428, 39.3946039], [-79.379428, 39.4298024], [-79.424161, 39.4298024]]]",2017-04-08 04:56:13,@TristenDeValk I know royce told me and now I feel like an idiot \xf0\x9f\x98\x82,abusive,"['know', 'royce', 'tell', 'feel', 'like', 'idiot']",-79.4017945,39.412203149999996
7,849099968489164804,,"Irving, TX",US,"[[[-97.034184, 32.771786], [-96.888782, 32.771786], [-96.888782, 32.956048], [-97.034184, 32.956048]]]",2017-04-04 03:23:02,I pray for 4nem on that appeal man! \xf0\x9f\x99\x8f Fuck da feds &amp; The fed ass niggas !!! #SNITCHK,abusive,"['pray', '4nem', 'appeal', 'man', 'fuck', 'fed', 'amp', 'fed', 'ass', 'niggas', 'snitchk']",-96.961483,32.863917
8,850163774036332545,,"Irving, TX",US,"[[[-97.034184, 32.771786], [-96.888782, 32.771786], [-96.888782, 32.956048], [-97.034184, 32.956048]]]",2017-04-07 01:50:13,It was time for Lavar Ball to shut up like a month or two ago...now he's just being an idiot,abusive,"['time', 'lavar', 'ball', 'shut', 'like', 'month', 'ago', 'idiot']",-96.961483,32.863917
9,850538069526753281,,"Milwaukee, WI",US,"[[[-88.070827, 42.920822], [-87.863758, 42.920822], [-87.863758, 43.1926225], [-88.070827, 43.1926225]]]",2017-04-08 02:37:32,just went I thought I was done with this shitty week the alarm system isnt working and I can't leave. OH MY GOD! I HATE THIS PLACE!,hateful,"['think', 'shitty', 'week', 'alarm', 'system', 'work', 'leave', 'god', 'hate', 'place']",-87.9672925,43.05672225
